,Address,Locality,Price,Beds,Full Baths,Half Baths,Lot Size,Area
0,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
1,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",,4,,1.5-2 Acres,
2,600 Talladega,"Rock Springs, WY 82901","$396,900",5,3,,,"3,154"
3,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,3,,1.5-2 Acres,"3,076"
4,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,,1.5-2 Acres,"1,172"
5,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,2,,1.5-2 Acres,"1,932"
6,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,3,,1.5-2 Acres,"1,676"
7,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,2,,1.5-2 Acres,"1,344"
8,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,2,,1.5-2 Acres,"1,920"
9,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,2,,1.5-2 Acres,"1,664"
10,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
11,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",,4,,1.5-2 Acres,
12,600 Talladega,"Rock Springs, WY 82901","$396,900",5,3,,,"3,154"
13,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,3,,1.5-2 Acres,"3,076"
14,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,,1.5-2 Acres,"1,172"
15,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,2,,1.5-2 Acres,"1,932"
16,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,3,,1.5-2 Acres,"1,676"
17,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,2,,1.5-2 Acres,"1,344"
18,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,2,,1.5-2 Acres,"1,920"
19,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,2,,1.5-2 Acres,"1,664"
20,0 Gateway,"Rock Springs, WY 82901","$725,000",,,,,
21,1003 Winchester Blvd.,"Rock Springs, WY 82901","$452,900",,4,,1.5-2 Acres,
22,600 Talladega,"Rock Springs, WY 82901","$396,900",5,3,,,"3,154"
23,3239 Spearhead Way,"Rock Springs, WY 82901","$389,900",4,3,,1.5-2 Acres,"3,076"
24,522 Emerald Street,"Rock Springs, WY 82901","$254,000",3,3,,1.5-2 Acres,"1,172"
25,1302 Veteran's Drive,"Rock Springs, WY 82901","$252,900",4,2,,1.5-2 Acres,"1,932"
26,1021 Cypress Cir,"Rock Springs, WY 82901","$210,000",4,3,,1.5-2 Acres,"1,676"
27,913 Madison Dr,"Rock Springs, WY 82901","$209,000",3,2,,1.5-2 Acres,"1,344"
28,1344 Teton Street,"Rock Springs, WY 82901","$199,900",3,2,,1.5-2 Acres,"1,920"
29,4 Minnies Lane,"Rock Springs, WY 82901","$196,900",3,2,,1.5-2 Acres,"1,664"
